actual_completion_time,rf_predicted_completion_time,nn_predicted_completion_time,actual_orders_per_step,rf_predicted_orders_per_step,nn_predicted_orders_per_step,actual_robot_efficiency,rf_predicted_robot_efficiency,nn_predicted_robot_efficiency,actual_completion_rate,rf_predicted_completion_rate,nn_predicted_completion_rate,num_robots,num_workstations,order_density,robot_density
998,645.7820952380954,1385.1111,0.06312625250501,0.059817013060134955,0.06653569,0.0052605210420841,0.0054980575422124145,0.005989897,0.9130434782608696,0.867437010092915,0.8966944,12,2,0.05,0.08888888888888889
1252,645.7820952380954,1385.1111,0.0623003194888178,0.059817013060134955,0.06653569,0.0051916932907348,0.0054980575422124145,0.005989897,0.975,0.867437010092915,0.8966944,12,2,0.05,0.08888888888888889
770,645.7820952380954,1385.1111,0.0636363636363636,0.059817013060134955,0.06653569,0.0053030303030303,0.0054980575422124145,0.005989897,0.9423076923076924,0.867437010092915,0.8966944,12,2,0.05,0.08888888888888889
2168,1208.7489880952382,1661.6934,0.0622693726937269,0.06500406764592186,0.067959756,0.0051891143911439,0.006090106031729431,0.0061091296,0.9642857142857144,0.9439937847484433,0.9162429,12,2,0.1,0.08888888888888889
1603,1208.7489880952382,1661.6934,0.0711166562694946,0.06500406764592186,0.067959756,0.0059263880224578,0.006090106031729431,0.0061091296,0.957983193277311,0.9439937847484433,0.9162429,12,2,0.1,0.08888888888888889
1744,1208.7489880952382,1661.6934,0.0665137614678899,0.06500406764592186,0.067959756,0.0055428134556574,0.006090106031729431,0.0061091296,0.9586776859504132,0.9439937847484433,0.9162429,12,2,0.1,0.08888888888888889
4009,2369.5952142857145,2214.858,0.0598653030680967,0.06692642803209552,0.07080787,0.0049887752556747,0.0063415742634751315,0.0063475943,0.979591836734694,0.9605195723893695,0.95533985,12,2,0.2,0.08888888888888889
3211,2369.5952142857145,2214.858,0.0747430706944877,0.06692642803209552,0.07080787,0.0062285892245406,0.0063415742634751315,0.0063475943,0.9836065573770492,0.9605195723893695,0.95533985,12,2,0.2,0.08888888888888889
3266,2369.5952142857145,2214.858,0.0667483159828536,0.06692642803209552,0.07080787,0.0055623596652378,0.0063415742634751315,0.0063475943,0.9775784753363228,0.9605195723893695,0.95533985,12,2,0.2,0.08888888888888889
5453,3710.739761904762,2768.0222,0.0680359435173299,0.06496065038189243,0.07365596,0.0056696619597774,0.0063728649874562416,0.006586059,0.9867021276595744,0.9830155426893761,0.9944368,12,2,0.3,0.08888888888888889
5429,3710.739761904762,2768.0222,0.0672315343525511,0.06496065038189243,0.07365596,0.0056026278627125,0.0063728649874562416,0.006586059,0.9811827956989247,0.9830155426893761,0.9944368,12,2,0.3,0.08888888888888889
5704,3710.739761904762,2768.0222,0.0669705469845722,0.06496065038189243,0.07365596,0.005580878915381,0.0063728649874562416,0.006586059,0.9769820971867008,0.9830155426893761,0.9944368,12,2,0.3,0.08888888888888889
1104,646.5657380952382,1372.2533,0.0543478260869565,0.061826376236194226,0.06644413,0.0045289855072463,0.005712376584015691,0.0059845396,0.9375,0.8913290246181965,0.8957824,12,3,0.05,0.08888888888888889
891,646.5657380952382,1372.2533,0.0606060606060606,0.061826376236194226,0.06644413,0.005050505050505,0.005712376584015691,0.0059845396,0.84375,0.8913290246181965,0.8957824,12,3,0.05,0.08888888888888889
812,646.5657380952382,1372.2533,0.0566502463054187,0.061826376236194226,0.06644413,0.0047208538587848,0.005712376584015691,0.0059845396,0.8518518518518519,0.8913290246181965,0.8957824,12,3,0.05,0.08888888888888889
2038,1250.6070317460317,1648.8354,0.0598626104023552,0.06432074333055575,0.06786819,0.0049885508668629,0.006064078094763381,0.0061037717,0.9457364341085271,0.9415178644039502,0.9153309,12,3,0.1,0.08888888888888889
1765,1250.6070317460317,1648.8354,0.063456090651558,0.06432074333055575,0.06786819,0.0052880075542965,0.006064078094763381,0.0061037717,0.9491525423728814,0.9415178644039502,0.9153309,12,3,0.1,0.08888888888888889
1830,1250.6070317460317,1648.8354,0.0666666666666666,0.06432074333055575,0.06786819,0.0055555555555555,0.006064078094763381,0.0061037717,0.9384615384615383,0.9415178644039502,0.9153309,12,3,0.1,0.08888888888888889
4072,2496.314761904762,2201.9998,0.0636051080550098,0.06512904023673204,0.0707163,0.0053004256712508,0.0061524784596166905,0.0063422364,0.9847908745247148,0.9712020340235302,0.9544278,12,3,0.2,0.08888888888888889
3534,2496.314761904762,2201.9998,0.066213921901528,0.06512904023673204,0.0707163,0.0055178268251273,0.0061524784596166905,0.0063422364,0.9831932773109244,0.9712020340235302,0.9544278,12,3,0.2,0.08888888888888889
3648,2496.314761904762,2201.9998,0.0674342105263157,0.06512904023673204,0.0707163,0.0056195175438596,0.0061524784596166905,0.0063422364,0.9879518072289156,0.9712020340235302,0.9544278,12,3,0.2,0.08888888888888889
4742,3826.8046190476175,2755.1646,0.069590889919865,0.062402788199236635,0.0735644,0.0057992408266554,0.006077388975964811,0.0065807016,0.9792284866468842,0.973780410647693,0.99352473,12,3,0.3,0.08888888888888889
5714,3826.8046190476175,2755.1646,0.0673783689184459,0.062402788199236635,0.0735644,0.0056148640765371,0.006077388975964811,0.0065807016,0.9897172236503856,0.973780410647693,0.99352473,12,3,0.3,0.08888888888888889
5389,3826.8046190476175,2755.1646,0.067544999072184,0.062402788199236635,0.0735644,0.005628749922682,0.006077388975964811,0.0065807016,0.986449864498645,0.973780410647693,0.99352473,12,3,0.3,0.08888888888888889
977,662.5130674603174,1359.3951,0.0665301944728761,0.06046591679946738,0.06635257,0.0055441828727396,0.0057152442506924065,0.0059791817,0.9154929577464788,0.9131303830307063,0.89487034,12,4,0.05,0.08888888888888889
1155,662.5130674603174,1359.3951,0.0614718614718614,0.06046591679946738,0.06635257,0.0051226551226551,0.0057152442506924065,0.0059791817,0.9102564102564102,0.9131303830307063,0.89487034,12,4,0.05,0.08888888888888889
1107,662.5130674603174,1359.3951,0.059620596205962,0.06046591679946738,0.06635257,0.0049683830171635,0.0057152442506924065,0.0059791817,0.9295774647887324,0.9131303830307063,0.89487034,12,4,0.05,0.08888888888888889
1984,1285.9724206349206,1635.9775,0.0650201612903225,0.06157000595772949,0.06777663,0.0054183467741935,0.005849554209100027,0.006098414,0.9555555555555556,0.9400119481524659,0.9144188,12,4,0.1,0.08888888888888889
1658,1285.9724206349206,1635.9775,0.0657418576598311,0.06157000595772949,0.06777663,0.0054784881383192,0.005849554209100027,0.006098414,0.9646017699115044,0.9400119481524659,0.9144188,12,4,0.1,0.08888888888888889
2039,1285.9724206349206,1635.9775,0.060814124570868,0.06157000595772949,0.06777663,0.005067843714239,0.005849554209100027,0.006098414,0.9763779527559056,0.9400119481524659,0.9144188,12,4,0.1,0.08888888888888889
3532,2593.207035714286,2189.1418,0.0648357870894677,0.06431993758544091,0.07062473,0.0054029822574556,0.006056289271035071,0.006336879,0.9703389830508474,0.9708847513483715,0.9535157,12,4,0.2,0.08888888888888889
4321,2593.207035714286,2189.1418,0.0587826891923165,0.06431993758544091,0.07062473,0.004898557432693,0.006056289271035071,0.006336879,0.9844961240310076,0.9708847513483715,0.9535157,12,4,0.2,0.08888888888888889
3579,2593.207035714286,2189.1418,0.0676166526962838,0.06431993758544091,0.07062473,0.0056347210580236,0.006056289271035071,0.006336879,0.983739837398374,0.9708847513483715,0.9535157,12,4,0.2,0.08888888888888889
5252,3834.6769523809526,2742.3064,0.0687357197258187,0.06344162793852046,0.073472835,0.0057279766438182,0.006203841527752113,0.0065753437,0.9809782608695652,0.9855710705926153,0.99261266,12,4,0.3,0.08888888888888889
5591,3834.6769523809526,2742.3064,0.0658200679663745,0.06344162793852046,0.073472835,0.0054850056638645,0.006203841527752113,0.0065753437,0.983957219251337,0.9855710705926153,0.99261266,12,4,0.3,0.08888888888888889
5666,3834.6769523809526,2742.3064,0.0667137310271796,0.06344162793852046,0.073472835,0.0055594775855983,0.006203841527752113,0.0065753437,0.9869451697127938,0.9855710705926153,0.99261266,12,4,0.3,0.08888888888888889
1026,612.7808571428571,1346.5371,0.0575048732943469,0.05748397773698551,0.066261016,0.0047920727745289,0.005620632362546032,0.005973824,0.9076923076923076,0.8689330813110743,0.8939583,12,5,0.05,0.08888888888888889
877,612.7808571428571,1346.5371,0.0604332953249714,0.05748397773698551,0.066261016,0.0050361079437476,0.005620632362546032,0.005973824,0.9814814814814816,0.8689330813110743,0.8939583,12,5,0.05,0.08888888888888889
943,612.7808571428571,1346.5371,0.0583244962884411,0.05748397773698551,0.066261016,0.0048603746907034,0.005620632362546032,0.005973824,0.9166666666666666,0.8689330813110743,0.8939583,12,5,0.05,0.08888888888888889
1635,1332.3468571428573,1623.1196,0.0636085626911314,0.061764798935184405,0.06768507,0.0053007135575942,0.005819487611698685,0.0060930564,0.9629629629629628,0.9300298783403284,0.91350675,12,5,0.1,0.08888888888888889
1852,1332.3468571428573,1623.1196,0.0631749460043196,0.061764798935184405,0.06768507,0.0052645788336933,0.005819487611698685,0.0060930564,0.951219512195122,0.9300298783403284,0.91350675,12,5,0.1,0.08888888888888889
1878,1332.3468571428573,1623.1196,0.0612353567625133,0.061764798935184405,0.06768507,0.0051029463968761,0.005819487611698685,0.0060930564,0.9745762711864406,0.9300298783403284,0.91350675,12,5,0.1,0.08888888888888889
3926,2588.910857142857,2176.284,0.0629139072847682,0.0654298513034027,0.07053317,0.005242825607064,0.006179257167770548,0.006331521,0.9840637450199204,0.9754641445251603,0.9526037,12,5,0.2,0.08888888888888889
3172,2588.910857142857,2176.284,0.0668348045397225,0.0654298513034027,0.07053317,0.0055695670449768,0.006179257167770548,0.006331521,0.9906542056074766,0.9754641445251603,0.9526037,12,5,0.2,0.08888888888888889
3636,2588.910857142857,2176.284,0.0673817381738173,0.0654298513034027,0.07053317,0.0056151448478181,0.006179257167770548,0.006331521,0.9645669291338582,0.9754641445251603,0.9526037,12,5,0.2,0.08888888888888889
5188,3613.953249999999,2729.4482,0.0678488820354664,0.06473397374973205,0.073381275,0.0056540735029555,0.006328139131900829,0.0065699858,0.98050139275766,0.9751488934764132,0.9917006,12,5,0.3,0.08888888888888889
5937,3613.953249999999,2729.4482,0.0653528718207849,0.06473397374973205,0.073381275,0.005446072651732,0.006328139131900829,0.0065699858,0.9948717948717948,0.9751488934764132,0.9917006,12,5,0.3,0.08888888888888889
5681,3613.953249999999,2729.4482,0.0691779616264742,0.06473397374973205,0.073381275,0.0057648301355395,0.006328139131900829,0.0065699858,0.9924242424242424,0.9751488934764132,0.9917006,12,5,0.3,0.08888888888888889
870,613.7660476190476,1333.6791,0.0597701149425287,0.0558964198187162,0.06616945,0.0049808429118773,0.005446673326398452,0.005968466,0.8813559322033898,0.8643429681859197,0.8930462,12,6,0.05,0.08888888888888889
907,613.7660476190476,1333.6791,0.0617420066152149,0.0558964198187162,0.06616945,0.0051451672179345,0.005446673326398452,0.005968466,0.9333333333333332,0.8643429681859197,0.8930462,12,6,0.05,0.08888888888888889
1001,613.7660476190476,1333.6791,0.0619380619380619,0.0558964198187162,0.06616945,0.0051615051615051,0.005446673326398452,0.005968466,0.96875,0.8643429681859197,0.8930462,12,6,0.05,0.08888888888888889
2143,1186.0228214285717,1610.2617,0.0620625291647223,0.06273253446647012,0.06759351,0.0051718774303935,0.005901324711250898,0.0060876985,0.9851851851851852,0.9197625985302382,0.9125947,12,6,0.1,0.08888888888888889
