actual_completion_time,predicted_completion_time,actual_orders_per_step,predicted_orders_per_step,actual_robot_efficiency,predicted_robot_efficiency,actual_completion_rate,predicted_completion_rate,num_robots,num_workstations,order_density
998,379.56757142857145,0.06312625250501,0.08577041168007626,0.0052605210420841,0.005273066810894123,0.9130434782608696,0.8283773090566249,12,2,0.05
1252,379.56757142857145,0.0623003194888178,0.08577041168007626,0.0051916932907348,0.005273066810894123,0.975,0.8283773090566249,12,2,0.05
770,379.56757142857145,0.0636363636363636,0.08577041168007626,0.0053030303030303,0.005273066810894123,0.9423076923076924,0.8283773090566249,12,2,0.05
2168,746.5127499999998,0.0622693726937269,0.09577599201881848,0.0051891143911439,0.0058825323856934895,0.9642857142857144,0.9293266704445999,12,2,0.1
1603,746.5127499999998,0.0711166562694946,0.09577599201881848,0.0059263880224578,0.0058825323856934895,0.957983193277311,0.9293266704445999,12,2,0.1
1744,746.5127499999998,0.0665137614678899,0.09577599201881848,0.0055428134556574,0.0058825323856934895,0.9586776859504132,0.9293266704445999,12,2,0.1
4009,1535.505404761905,0.0598653030680967,0.09769130166554169,0.0049887752556747,0.006032398824417805,0.979591836734694,0.955778560630159,12,2,0.2
3211,1535.505404761905,0.0747430706944877,0.09769130166554169,0.0062285892245406,0.006032398824417805,0.9836065573770492,0.955778560630159,12,2,0.2
3266,1535.505404761905,0.0667483159828536,0.09769130166554169,0.0055623596652378,0.006032398824417805,0.9775784753363228,0.955778560630159,12,2,0.2
5453,2336.689095238095,0.0680359435173299,0.10046896544558061,0.0056696619597774,0.006175998214899282,0.9867021276595744,0.9816555566631409,12,2,0.3
5429,2336.689095238095,0.0672315343525511,0.10046896544558061,0.0056026278627125,0.006175998214899282,0.9811827956989247,0.9816555566631409,12,2,0.3
5704,2336.689095238095,0.0669705469845722,0.10046896544558061,0.005580878915381,0.006175998214899282,0.9769820971867008,0.9816555566631409,12,2,0.3
1104,391.1346190476192,0.0543478260869565,0.08637069464243403,0.0045289855072463,0.005304126128415131,0.9375,0.8592868396948831,12,3,0.05
891,391.1346190476192,0.0606060606060606,0.08637069464243403,0.005050505050505,0.005304126128415131,0.84375,0.8592868396948831,12,3,0.05
812,391.1346190476192,0.0566502463054187,0.08637069464243403,0.0047208538587848,0.005304126128415131,0.8518518518518519,0.8592868396948831,12,3,0.05
2038,758.5099999999999,0.0598626104023552,0.09303173827259088,0.0049885508668629,0.005738085255627445,0.9457364341085271,0.9177370997695911,12,3,0.1
1765,758.5099999999999,0.063456090651558,0.09303173827259088,0.0052880075542965,0.005738085255627445,0.9491525423728814,0.9177370997695911,12,3,0.1
1830,758.5099999999999,0.0666666666666666,0.09303173827259088,0.0055555555555555,0.005738085255627445,0.9384615384615383,0.9177370997695911,12,3,0.1
4072,1518.6605833333329,0.0636051080550098,0.09481878875673129,0.0053004256712508,0.005848906915501167,0.9847908745247148,0.9520208021641452,12,3,0.2
3534,1518.6605833333329,0.066213921901528,0.09481878875673129,0.0055178268251273,0.005848906915501167,0.9831932773109244,0.9520208021641452,12,3,0.2
3648,1518.6605833333329,0.0674342105263157,0.09481878875673129,0.0056195175438596,0.005848906915501167,0.9879518072289156,0.9520208021641452,12,3,0.2
4742,2279.825738095239,0.069590889919865,0.09592648676542248,0.0057992408266554,0.005910909689348739,0.9792284866468842,0.9689514581169508,12,3,0.3
5714,2279.825738095239,0.0673783689184459,0.09592648676542248,0.0056148640765371,0.005910909689348739,0.9897172236503856,0.9689514581169508,12,3,0.3
5389,2279.825738095239,0.067544999072184,0.09592648676542248,0.005628749922682,0.005910909689348739,0.986449864498645,0.9689514581169508,12,3,0.3
977,443.9212500000001,0.0665301944728761,0.0839413230208402,0.0055441828727396,0.00512752989226222,0.9154929577464788,0.8822854629142551,12,4,0.05
1155,443.9212500000001,0.0614718614718614,0.0839413230208402,0.0051226551226551,0.00512752989226222,0.9102564102564102,0.8822854629142551,12,4,0.05
1107,443.9212500000001,0.059620596205962,0.0839413230208402,0.0049683830171635,0.00512752989226222,0.9295774647887324,0.8822854629142551,12,4,0.05
1984,740.2648095238094,0.0650201612903225,0.08908958722912722,0.0054183467741935,0.005496498479590538,0.9555555555555556,0.9290154005416433,12,4,0.1
1658,740.2648095238094,0.0657418576598311,0.08908958722912722,0.0054784881383192,0.005496498479590538,0.9646017699115044,0.9290154005416433,12,4,0.1
2039,740.2648095238094,0.060814124570868,0.08908958722912722,0.005067843714239,0.005496498479590538,0.9763779527559056,0.9290154005416433,12,4,0.1
3532,1536.292392857143,0.0648357870894677,0.09426351880949917,0.0054029822574556,0.005826302362270485,0.9703389830508474,0.963688280699942,12,4,0.2
4321,1536.292392857143,0.0587826891923165,0.09426351880949917,0.004898557432693,0.005826302362270485,0.9844961240310076,0.963688280699942,12,4,0.2
3579,1536.292392857143,0.0676166526962838,0.09426351880949917,0.0056347210580236,0.005826302362270485,0.983739837398374,0.963688280699942,12,4,0.2
5252,2406.0913333333333,0.0687357197258187,0.09693362293537147,0.0057279766438182,0.0059596124794444915,0.9809782608695652,0.9860947335710777,12,4,0.3
5591,2406.0913333333333,0.0658200679663745,0.09693362293537147,0.0054850056638645,0.0059596124794444915,0.983957219251337,0.9860947335710777,12,4,0.3
5666,2406.0913333333333,0.0667137310271796,0.09693362293537147,0.0055594775855983,0.0059596124794444915,0.9869451697127938,0.9860947335710777,12,4,0.3
1026,408.7812142857143,0.0575048732943469,0.08363598283675054,0.0047920727745289,0.005133412360371202,0.9076923076923076,0.8675316728624789,12,5,0.05
877,408.7812142857143,0.0604332953249714,0.08363598283675054,0.0050361079437476,0.005133412360371202,0.9814814814814816,0.8675316728624789,12,5,0.05
943,408.7812142857143,0.0583244962884411,0.08363598283675054,0.0048603746907034,0.005133412360371202,0.9166666666666666,0.8675316728624789,12,5,0.05
1635,787.0292857142855,0.0636085626911314,0.09246448891652459,0.0053007135575942,0.005681839739586558,0.9629629629629628,0.904684073833947,12,5,0.1
1852,787.0292857142855,0.0631749460043196,0.09246448891652459,0.0052645788336933,0.005681839739586558,0.951219512195122,0.904684073833947,12,5,0.1
1878,787.0292857142855,0.0612353567625133,0.09246448891652459,0.0051029463968761,0.005681839739586558,0.9745762711864406,0.904684073833947,12,5,0.1
3926,1597.5749166666667,0.0629139072847682,0.09607786642058327,0.005242825607064,0.005919592054086182,0.9840637450199204,0.9645608984075237,12,5,0.2
3172,1597.5749166666667,0.0668348045397225,0.09607786642058327,0.0055695670449768,0.005919592054086182,0.9906542056074766,0.9645608984075237,12,5,0.2
3636,1597.5749166666667,0.0673817381738173,0.09607786642058327,0.0056151448478181,0.005919592054086182,0.9645669291338582,0.9645608984075237,12,5,0.2
5188,2249.204571428572,0.0678488820354664,0.09634863194033852,0.0056540735029555,0.005921976023254671,0.98050139275766,0.9733192756867163,12,5,0.3
5937,2249.204571428572,0.0653528718207849,0.09634863194033852,0.005446072651732,0.005921976023254671,0.9948717948717948,0.9733192756867163,12,5,0.3
5681,2249.204571428572,0.0691779616264742,0.09634863194033852,0.0057648301355395,0.005921976023254671,0.9924242424242424,0.9733192756867163,12,5,0.3
870,326.79849999999993,0.0597701149425287,0.07503738498238212,0.0049808429118773,0.004585646067091435,0.8813559322033898,0.7440533544929043,12,6,0.05
907,326.79849999999993,0.0617420066152149,0.07503738498238212,0.0051451672179345,0.004585646067091435,0.9333333333333332,0.7440533544929043,12,6,0.05
1001,326.79849999999993,0.0619380619380619,0.07503738498238212,0.0051615051615051,0.004585646067091435,0.96875,0.7440533544929043,12,6,0.05
2143,760.8917499999998,0.0620625291647223,0.09183689816272192,0.0051718774303935,0.0056672499202421785,0.9851851851851852,0.9139761189457174,12,6,0.1
1888,760.8917499999998,0.0630296610169491,0.09183689816272192,0.0052524717514124,0.0056672499202421785,0.952,0.9139761189457174,12,6,0.1
1977,760.8917499999998,0.0591805766312594,0.09183689816272192,0.0049317147192716,0.0056672499202421785,0.951219512195122,0.9139761189457174,12,6,0.1
3498,1592.0584999999999,0.062607204116638,0.09160072957744245,0.0052172670097198,0.005652498340762975,0.9647577092511012,0.9779061311933446,12,6,0.2
3777,1592.0584999999999,0.0635424940428911,0.09160072957744245,0.0052952078369075,0.005652498340762975,0.9917355371900828,0.9779061311933446,12,6,0.2
3904,1592.0584999999999,0.0648053278688524,0.09160072957744245,0.005400443989071,0.005652498340762975,0.9768339768339768,0.9779061311933446,12,6,0.2
5348,2248.1758333333332,0.0665669409124906,0.09928206341775764,0.0055472450760408,0.00609865699076552,0.9916434540389972,0.9721939298194557,12,6,0.3
5401,2248.1758333333332,0.0660988705795223,0.09928206341775764,0.0055082392149601,0.00609865699076552,0.9807692307692308,0.9721939298194557,12,6,0.3
6037,2248.1758333333332,0.062613881066755,0.09928206341775764,0.0052178234222295,0.00609865699076552,0.9921259842519684,0.9721939298194557,12,6,0.3
592,294.77129761904763,0.1047297297297297,0.1112251073417969,0.0041891891891891,0.004449004293671803,0.96875,0.9045153158193098,25,2,0.05
544,294.77129761904763,0.1176470588235294,0.1112251073417969,0.0047058823529411,0.004449004293671803,0.9696969696969696,0.9045153158193098,25,2,0.05
