warehouse_width,warehouse_height,warehouse_area,total_orders,optimal_workstations,optimal_robots,min_completion_time,max_orders_per_step
30,50,1500,100,2.0,24.0,612.920168067227,0.13646779672231835
30,50,1500,200,2.0,24.0,1225.840336134454,0.13646779672231835
30,50,1500,300,2.0,24.0,1838.7605042016808,0.13646779672231835
40,70,2800,100,2.0,42.0,428.58880778588804,0.1830021381417384
40,70,2800,200,2.0,42.0,857.1776155717761,0.1830021381417384
40,70,2800,300,2.0,42.0,1285.766423357664,0.1830021381417384
50,85,4250,100,3.0,63.0,323.1055900621118,0.24489983654585598
50,85,4250,200,3.0,63.0,646.2111801242236,0.24489983654585598
50,85,4250,300,3.0,63.0,969.3167701863354,0.24489983654585598
